"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"018783986","Monograph","Language material ; Still image ; Text","Volume","GBB845662","","9780715652763","Ricks, Thomas E.","","person","author","Ricks, Thomas E., author [person]","Churchill and Orwell : the fight for freedom","","","","England","London","Duckworth Overlook","2018","","339 pages, 16 unnumbered pages of plates, black and white illustrations, 20 cm","941.0840922","YK.2019.a.823","Prime ministers--Great Britain--Biography ; Orwell, George, 1903-1950--Political and social views ; Communism--History--20th century ; World politics--1933-1945 ; Churchill, Winston, 1874-1965 ; Great Britain--Politics and government--1936-1945 ; Authors, English--20th century--Biography ; Churchill, Winston, 1874-1965--Political and social views ; Fascism--History--20th century","Biography","English","",""
"018784378","Monograph","Language material ; Spoken word ; Text","Audio disc ; Computer disc ; Volume","GBB846054","","9781292243221","","","","","Orwell, George, 1903-1950 [person]","Animal farm","Animal Farm","Pearson English graded readers. Level 6","","England","Harlow","Pearson","2018","","1 volume + 1 CD","428.64","","","Reader","English","Based on the original work by George Orwell ; MP3-CD",""
"018786277","Monograph","Language material ; Text","Volume","GBB847953","","9781787300927","Crick, Bernard","1929-2008","person","author","Crick, Bernard, 1929-2008, author [person]","George Orwell : a life","","","","England","London","Harvill Secker","2018","","1 volume","823.912","","Authors, English--20th century--Biography ; Orwell, George, 1903-1950","Biography","English","Additional physical form: ebook version. 9781473563636 ; Originally published: London: Secker & Warburg, 1980",""
"018827840","Monograph","Language material ; Text","Volume","GBB865039","","9780241341650","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Nineteen eighty-four","","Penguin English library","","England","London","Penguin","2018","","1 volume, 20 cm","823.912","","","Humour or satire","English","",""
"018827841","Monograph","Language material ; Text","Volume","GBB865040","","9780241341667","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Animal farm","","Penguin English library","","England","London","Penguin","2018","New edition, introduction by Malcolm Bradbury","1 volume, 20 cm","823.912","","","","English","",""
"018833279","Monograph","Language material ; Text","Online resource (PDF ebook ; ePub ebook)","GBB870466","","9781786801890 ; 9781786802194","Newsinger, John","1948-","person","author","Newsinger, John, 1948-, author [person]","Hope lies in the proles : George Orwell and the left","","","","England","London","PlutoPress","2018","","1 online resource","823.912","ELD.DS.301740","Great Britain--Politics and government--1901-1936 ; Great Britain--Politics and government--1936- ; Socialism--Great Britain--History--20th century ; Orwell, George, 1903-1950--Political and social views","","English","Additional physical form: Print version. 9780745399287",""
"018835804","Monograph","Language material ; Still image ; Text","Volume","GBB883491","","9781999735920","Binns, Ronald","1948-","person","author","Binns, Ronald, 1948-, author [person]","Orwell in Southwold : his life and writings in a Suffolk town","","","","England","London","Zoilus","2018","","142 pages, black and white illustrations black and white maps, 23 cm","","YKL.2019.a.5819","Southwold (England)--History ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Homes and haunts","","English","",""
"018848872","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Nineteen eighty-four : a novel","","","","Canada","Toronto","S. J. Reginald Saunders","1949","First Canadian edition","4 unnumbered pages, 314 pages, 21 cm","","RF.2018.a.197","Dystopias--Fiction ; Totalitarianism ; Totalitarianism--Fiction ; Orwell, George, 1903-1950","Fiction","English","'Appendix: The principles of Newspeak'--Pages [301] -314 ; 'Printed in the United States of America by the Haddon Craftsmen, Scranton, PA.'--Title page verso ; 'The caricature of George Orwell which appears on the back panel is by George Holland'--On inner dust jacket, at back ; Issued with dust jacket",""
"018870411","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB890856","","9781473563636","Crick, Bernard","1929-2008","person","author","Crick, Bernard, 1929-2008, author [person]","George Orwell : a life","","","","England","London","Vintage Digital","2018","","1 online resource","823.912","","Authors, English--20th century--Biography ; Orwell, George, 1903-1950","Biography","English","Additional physical form: Print version. 9781787300927 ; Originally published: London: Secker & Warburg, 1980",""
"018875826","Monograph","Language material ; Text","Volume","GBB893832","","9781608467839","Smith, David N.","","person","author","Mosher, Michael R., illustrator [person] ; Smith, David N., author [person]","George Orwell illustrated","","","","United States of America","Chicago","Haymarket","2018","","1 volume, 22 cm","823.91","","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"018892027","Monograph","Language material ; Text","Volume","GBB8A2588","","9781787300972","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Down and out in Paris and London","","The complete works of George Orwell","1 [The complete works of George Orwell]","England","London","Harvill Secker","2018","","1 volume","914.436081","","Homelessness--England--London ; Paris (France)--Social conditions--20th century ; London (England)--Social conditions--20th century ; Orwell, George, 1903-1950 ; Poor--France--Paris","","English","Originally published: London: Victor Gollancz, 1933",""
"018892028","Monograph","Language material ; Text","Volume","GBB8A2589","","9781787300989","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Burmese days","","","","England","London","Harvill Secker","2018","","1 volume","823.912","","Burma--History--1824-1948--Fiction","Fiction","English","",""
