"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"828.91209","017652810","Monograph","Language material ; Text","Volume","GBB5H4537","","9781138975149","Stewart, Anthony","1964-","person","author","Stewart, Anthony, 1964-, author [person]","George Orwell, doubleness and the value of decency","","Studies in major literary authors","","England","London","Routledge","2015","","1 volume, 23 cm","","Conduct of life in literature ; Orwell, George, 1903-1950--Knowledge--Psychology ; Ethics in literature ; Difference (Psychology) in literature ; Orwell, George, 1903-1950--Ethics ; Orwell, George, 1903-1950--Criticism and interpretation","","English","Originally published: 2003",""
"828.91209","017721393","Monograph","Language material ; Text","Volume","GBB614556","","9780674282483","Woloch, Alex","1970-","person","author","Woloch, Alex, 1970-, author [person]","Or Orwell : writing and democratic socialism","","","","England","Cambridge, Massachusetts","Harvard University","2016","","xix, 410 pages, 24 cm","YC.2017.a.13887","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","017811157","Monograph","Language material ; Text","Online resource","GBB6F5312","","9781443811545 ; 9781847186027","Fusco, C. J.","","person","","Fusco, C. J. [person]","Our Orwell, right or left : the continued importance of one writer to the world of western politics","","","","England","Newcastle","Cambridge Scholars","2008","","1 online resource (vi, 118 pages)","ELD.DS.56471","Political and social views ; Right and left (Political science) in literature ; Orwell, George, 1903-1950--Political and social views ; Literary studies: fiction, novelists & prose writers ; Politics and literature--History--20th century ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Politische Literatur ; Orwell, George, 1903-1950--Criticism and interpretation--History ; Political ideologies ; C 1900 -","Criticsm and interpretation ; History","English","",""
"828.91209","017868671","Monograph","Language material ; Text","Volume","GBB674605","","9780141984230","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Seeing things as they are : selected journalism and other writings","Works. Selections","","","England","London","Penguin","2016","","485 pages, 20 cm","","","","English","Additional physical form: ebook version. 9780141984247 ; Originally published: London: Harvill Secker, 2014",""
"828.91209","017872094","Monograph","Language material ; Text","Online resource (ebook)","GBB678027","","9780141984247","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Seeing things as they are : selected journalism and other writings","Works. Selections","Penguin Modern Classics","","England","London","Penguin","2016","","1 online resource","ELD.DS.191437","","","English","Additional physical form: Print version. 9780141984230 ; Originally published: London: Harvill Secker, 2014",""
"828.91209","017881075","Monograph","Language material ; Text","Volume","","","9780900962165","Orwell, George","1903-1950","person","author","George, Alan, 1949-, editor [person] ; Crick, Bernard, 1929-2008, writer [person] ; Orwell, George, 1903-1950, author [person]","Unwelcome guerrilla : George Orwell and the New statesman : an anthology","Essays. Selections ; New statesman","","","England","London","New Statesman","1984","","95 pages, 21 cm","YD.2016.a.3890","Engels ; Orwell, George, 1903-1950--Criticism and interpretation ; Romans ; Maatschappijkritiek","Criticsm and interpretation","English","'George Orwell contributed a total of 23 articles and reviews to the magazine, spanning the years 1932 to 1943.'--page 13",""
"828.91209","017992062","Monograph","Language material ; Text","Volume","GBB6C0392","","9781784537043","Bounds, Philip","","person","author","Bounds, Philip, author [person]","Orwell and Marxism : the political and cultural thinking of George Orwell","","","","England","London","I.B. Tauris","2016","","1 volume","","Orwell, George, 1903-1950--Criticism and interpretation ; Communism and literature--Great Britain--History--20th century ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century","","English","Originally published: 2009",""
"828.91209","018000367","Monograph","Language material ; Text","Volume","GBB6C3921","","9781472530738 ; 9781472531940","Brennan, Michael G.","","person","author","Brennan, Michael G., author [person]","George Orwell and religion","","","","England","London","Bloomsbury","2017","","xix, 184 pages, 25 cm","YC.2016.a.10711","Orwell, George, 1903-1950--Criticism and interpretation ; Religion in literature ; Orwell, George, 1903-1950--Religion ; LITERARY CRITICISM / European / English, Irish, Scottish, Welsh ; LITERARY CRITICISM / General","","English","",""
"828.91209","018231233","Monograph","Language material ; Text","Online resource","GBB748101","","9780857715357 ; 9780857732828 ; 9781441629012","Bounds, Philip","","person","","Bounds, Philip [person]","Orwell and Marxism : the political and cultural thinking of George Orwell","","International library of cultural studies","4 [International library of cultural studies]","England ; United States of America","London ; New York","I.B. Tauris","2009","","1 online resource (253 pages)","ELD.DS.118370","Political and social views ; Marxismus ; Orwell, George, 1903-1950--Political and social views ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Politics and literature--Great Britain--History--20th century ; Communism and literature ; Kulturkritik ; Orwell, George, 1903-1950--Criticism and interpretation ; Communism and literature--Great Britain--History--20th century ; Politisches Denken","Criticsm and interpretation ; History","English","",""
"828.91209","018430253","Monograph","Language material ; Text","Volume","GBB7C3423","","9781349952533","Williams, Ian","1949-","person","author","Williams, Ian, 1949-, author [person]","Political and cultural perceptions of George Orwell : British and American views","","Political philosophy and public purpose","","England","Basingstoke","Palgrave Macmillan","2017","","1 volume, 21 cm","","Politics and literature--History--20th century ; Orwell, George, 1903-1950--Criticism and interpretation ; Orwell, George, 1903-1950--Political and social views","","English","",""
